#{"t_start": 1766683434.8492496, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-113.46781,107,0.198583
-92.615053,2000,1.37625
-117.812318,75,1.424593
-122.246698,120,1.495998
-109.07483,102,1.557448
-108.248132,60,1.599018
-100.295052,116,1.674052
-107.338208,105,1.74255
-156.445935,739,2.169425
-112.431056,44,2.198821
-187.871529,1910,3.307237
-126.327706,118,3.379961
-109.044915,2000,4.599315
-99.342269,101,4.669004
-100.215514,91,4.730368
-110.565348,66,4.771616
-89.09541,2000,6.009068
-114.707567,2000,58.892246
-100.201611,65,61.454401
-90.592945,2000,122.736518
-110.666785,77,124.984765
-108.949387,90,128.171343
-119.534122,63,130.200243
-107.99455,70,132.252302
-108.941864,79,134.535635
-105.838584,65,136.460141
-106.62897,68,138.525051
-111.490064,63,140.775856
-108.02484,56,142.933365
-108.058627,68,145.154938
-104.401488,68,147.434267
-106.975781,57,149.25069
-106.020091,54,151.026857
-200.35406,1585,203.226031
-113.378441,151,207.887212
-114.820623,67,210.42134
-116.968232,63,212.514152
-117.813865,66,214.431148
-114.352336,73,216.570806
-115.989324,87,219.124976
-109.724527,63,220.980195
-110.065844,78,223.606612
-104.097695,71,225.966135
-106.702204,67,227.938239
-121.504526,130,231.902359
-105.725417,82,234.391858
-101.419205,90,237.557125
-104.345728,86,240.351545
-98.945832,110,243.616307
-102.716618,69,245.658846
-108.850667,2000,307.832549
-98.11577,2000,368.213286
-100.692522,2000,428.873914
-110.607669,50,469.645156
-110.114753,50,469.700869
-110.321831,47,469.754081
-110.197295,46,469.804342
-109.918153,50,469.854939
-125.750701,2000,528.501821
-119.154627,440,541.383301
-103.256095,126,544.871891
-110.533985,141,549.235855
-109.578655,113,552.712904
-133.53346,122,556.120625
-113.505102,618,574.038115
-104.549115,260,581.966995
-28.603221,2000,640.567255
-154.663111,1777,693.5116
-93.137023,2000,752.512474
-110.187635,744,774.254908
-132.277566,1153,808.666474
-99.996197,468,822.400384
-121.772423,2000,880.95587
-158.173566,1510,925.403936
-81.70062,2000,984.753089
-87.421978,2000,1044.418491
-90.028575,993,1073.558791
-94.963792,587,1091.221692
-100.845403,138,1095.508689
-83.039262,722,1116.619124
-120.365051,88,1119.685592
-75.246757,462,1133.489507
-123.200993,66,1135.42534
-124.415614,100,1138.206767
-123.09986,535,1153.911462
-114.656519,1013,1183.793409
-99.343574,107,1187.297086
-97.738881,168,1208.611626
-98.348724,140,1208.752417
-100.162447,108,1208.860439
-61.456256,2000,1210.752741
-100.163097,111,1210.862382
-124.481903,93,1213.976907
-99.345171,126,1217.79404
-98.925189,106,1220.828564
-93.537451,127,1224.43087
-101.350621,281,1233.084236
-121.921071,97,1235.868377
-106.878692,89,1238.381449
-132.773944,323,1248.165647
-115.493566,314,1257.892522
